UMAP_1,UMAP_2,UMAP_3
8.017702,0.2518785,5.57986
4.3323817,1.8118377,4.185736
7.8377304,1.2496593,5.4189053
5.5463705,0.46328542,6.517125
6.371158,1.1736255,8.382218
8.145642,0.019398684,5.7224183
6.961117,-0.4599252,4.631013
6.823119,1.2988615,8.350817
6.51845,1.8932115,4.6649756
6.539185,1.1710808,7.4272385
6.2862353,1.7054933,6.002089
7.076528,1.0572652,7.4823613
10.083298,-0.43003267,7.1856856
5.4257483,0.9404644,6.2052093
4.1603847,2.4197981,3.2920275
5.9108186,-1.2361155,5.42451
5.366809,1.5635855,3.1293974
8.303898,-0.34327152,6.2061534
5.035895,0.88545513,4.075235
6.5078483,1.749061,7.0235085
6.7180343,0.35497594,5.141251
6.5675983,-1.1915296,5.017948
8.457862,0.22982739,8.0698
5.125298,1.4106607,4.072199
6.1900773,1.3715069,7.430437
5.2614613,1.7498375,4.875489
4.330385,1.5384707,4.7019925
8.631049,-0.3839435,7.39064
7.734911,-0.70703584,5.7166266
5.9296393,2.3666453,5.256313
6.263483,0.5656056,7.784272
3.8903654,3.98421,5.3950877
6.5854726,-1.1269398,4.8179526
5.461832,1.9025843,4.795456
6.1771603,1.2625622,9.080483
7.585567,1.4809154,5.0435734
6.104831,1.5223768,6.812354
7.4317894,0.009827173,7.0927916
8.620426,0.12394633,5.620263
7.0711513,0.8956787,6.9155746
9.411256,-0.27192897,7.748131
4.7558374,0.625411,5.393573
4.0615883,2.5189855,3.156098
8.922783,-1.2129525,7.7946377
9.190901,-0.6024646,7.2612615
7.1284857,-0.817609,5.708462
7.147758,-0.49051765,5.7878966
6.3315353,0.9589698,7.869064
5.6784368,-1.107818,5.721648
7.4208155,0.64328545,5.9686975
8.532927,-0.15538062,7.5803695
9.124911,-2.149311,8.610421
7.7453003,0.6139737,7.234184
7.9784775,-1.874176,7.115298
5.2218566,2.3945208,4.180089
6.4284863,1.9774503,4.105026
5.279285,0.7210721,5.863042
9.152423,-2.2880244,8.428609
4.473181,1.0230896,4.8623133
6.710662,0.77665997,7.907036
5.9165354,1.5441431,2.458319
9.062099,-0.5555641,6.9402637
7.268451,0.58469975,6.9378705
8.574485,-0.12439536,6.7119465
5.501101,0.86657476,6.0510936
8.626687,0.20811851,5.5898952
7.0867214,-0.26024354,4.834404
4.6935134,-0.49377823,6.249231
4.2761645,-0.47182575,5.2824464
9.281792,-1.2966216,8.388679
11.873486,2.5605645,7.979247
5.1333246,1.1504792,4.7576995
5.87335,0.27778754,6.9814305
4.295871,2.3554893,3.397817
8.166597,-0.5258642,6.2976522
6.955862,0.7801027,4.922311
4.8560057,1.8489379,3.838732
6.064321,1.7697982,4.240281
6.5668855,0.83889097,6.8330064
8.786771,-1.6693951,8.372879
8.0332,-0.10804574,5.8436985
8.318377,-0.4113313,6.218802
8.416377,0.13788807,7.83729
9.177429,-0.46780422,6.5210605
6.9298635,0.82385325,7.9031005
7.7445655,1.3361028,5.555164
5.348417,2.3845143,4.259553
6.0989585,1.405712,8.37206
4.2479343,1.9075831,4.126616
6.50556,0.5533581,7.837516
